atom basic	6502	1
how did you get here?  bbc basic	pascal	1
bash	html,css	1
c	php	2
perl	(very little) python	1
pl/sql	perl	2
c64 basic	turbo pascal	1
javascript/mirc script	'history of law and state of ukraine'	1
pl/i	z80 asm	1
comal	pascal	1
turing	java	1
awk	370 asm	1
apollo pascal	c	1
sendmail.cf,m4	awk,sed	1
perl	…	1
vms basic	c	1
z80 basic	z80 asm	1
(influences from lisp, erlang, haskell, ocaml)	perl	1
c++	php	3
javascript	php	1
basic	c	12
bash	awk	1
c*	forth	1
c++	powerbuilder	1
vb	c++	1
4gl	esql/c	1
basic	turbo pascal	1
ada	lingo	1
php	c	3
haskell	scala	1
basic	hypercard	1
c	lua	1
rexx	php	1
pascal	asp	1
lamp (suse)	divergence into .net	1
perl4	lambdamoo	1
iigs assembler	forth	1
(ti,applesoft,gw,q) basic	pascal/x86 asm*	1
perl	?	1
college, real job, java	php, perl	1
z80 asm	pascal/delphi	1
x86asm	java	1
apple basic	pascal	1
lamp	perl	1
370 asm	perl	1
sed/awk	perl	2
perl (	c# / c/c++ / java)	1
xml	perl	2
perl!	javascript & perl	1
c++	asm	1
: basic	c++	1
delphi	c++	1
perl 5.004	coldfusion 5	1
vb3	applescript	1
modula 2	scheme	1
lambdamoo	java	1
scheme	c++	1
basic	z80	3
lisp	awk	1
javascript	java	2
cobol	fortran	1
dbase	c++	1
z80 asm	amiga asm	1
php 4	perl	1
ruby	groovy	1
unreal tournament	unrealscript	1
64 basic	simon's basic	1
perl	ruby (ror)	1
pascal	turbo pascal	1
vb6	perl	1
javascript	bash	1
c	perl	16
maths	smatterings of pascal, lisp, c, miranda	1
perl 5	ruby	1
ti-basic	php	1
coldfusion 5	php 4	1
java	perl	25
basic	scheme	1
c++	c	6
pl/m	coral	1
8086asm	forth	1
ruby	moose + perl5forlyfe	1
tibasic/applebasic	html/javascript (late 90s)	1
fortran	vb	1
fortran	tcl/tk	1
perl	sql	1
delphi	java	3
sql	perl (	1
scheme	matlab	1
logo	lisp	1
pascal/x86 asm*	html/js	1
gfa basic	c	1
forth	bash	1
vb	perl	4
jeffrey friedl book, camel book & perl cookbook	perl,	1
c#	java )	1
perl	oop	1
pascal	vb	1
basic (apple iie)	basic (amiga)	1
python	c	1
basic	6502 assembler	1
[sys360, applesoft basic]	logo	1
commodore basic	pascal	1
sinclair basic	lynx basic	1
java	bash / awk / sed )	1
c++	sh	1
8080	basic	1
javascript	delphi	2
c/pascal	dbase	1
python	ruby	1
c✘	perl❤✔	1
modula2	c	1
embedded c	matlab	1
vb3, 4	where i've largely stayed	1
was: html	javascript/mirc script	1
arm26	pascal	1
c#	perl!	1
qbasic(1998)	perl(1999 + rh linux) (thanks http://www.happyhacker.org/)	1
javascript	vb	1
vb	c	3
ucsd pascal	6502 assembler	1
68000	cobol & 8086	1
perl	objc	1
awk	bash	1
vb	asp (argh)	1
m68k	c	1
java	(d, ruby, erlang, python, smalltalk, ocaml)	1
c	68000	1
ruby	c	1
perl 4	perl	2
pascal	c++	5
lisp	ada	1
php3 (for about a day)	perl	1
lingo	c++	1
turbo pascal	z80 assembler	1
quickbasic	php	1
c++	scheme	1
c	ml	1
sh	lisp	1
compute magazine	elementary school, basic	1
java	python	3
ruby (ror)	perl	1
ti83 basic	c++	1
ml	lisp	1
c	m68k	2
amiga asm	delphi,vb (high school)	1
(blurry teenage years)	html/css/javascript	1
vb	javascript	1
html	perl	4
c	c++, java	1
xslt	perl	2
bash	vba	1
[dabbling lisp, c, apl ]	[ten-year gap]	1
c	tinymud code	1
applebasic & pascal (in hs)	mac	1
ruby	modern perl	1
x86 assembly	delphi	1
perl (cgi)	java (uni)	1
html	javascript	2
basic/logo	eng.lit & italian	1
bash	php	1
c	fortran	1
matlab	java	1
groovy	perl	1
/bin/sh	sendmail.cf,m4	1
prolog	icon	1
c#	ruby	1
pascal	...	1
tcl	eek! rollback to perl	1
perl!	objective-c & perl	1
c++	embedded c	1
.bat	pascal	1
perl	sml/nj	1
turbo pascal	forth	1
vb	pascal	1
pascal	bash	1
perl	tcl	2
perl	c	2
asm	perl	2
c	perl(4)	1
c++	fortran	1
lisp	[c, pascal, vax asm]	1
(pascal|scheme|smalltalk|c|misc)	perl 4	1
68000	awk	1
c#	javascript	1
python	perl	2
c++	perl4	1
javascript	python	2
java	objective-c	1
pascal	c/c++	3
clipper	perl.	1
fortran	pl/i	1
perl❤✔	java✘	1
think camilla the butterfly is cute	marry  programmer.	1
html/js	c/c++/vb4	1
assembler	c/pascal	1
c++	(blurry teenage years)	1
c	68k assembler	1
pascal	modula 3	1
perl 4.36	c++	1
pascal	modula-2	1
zx spectrum basic	z80 asm	1
<in house ui language	bash	1
java	expect	1
delphi,vb (high school)	bash	1
c	z80	1
java✘	javascript✔❣	1
rpg(oh god, save me! awk	perl to munge the rpg)	1
perl (cgi)	pascal	1
business basic	visual basic	1
fortran	pascal	2
perl (cgi.pm)	assembler	1
perl 5	javascript, sql (	1
c++	perl	14
c	pascal	1
forth	c	1
c++	oberon	1
perl	python	3
hexen	heretic ii	1
pascal	[dabbling lisp, c, apl ]	1
asp	php	1
mac	macperl	1
js (client side)	js + perl (♥)	1
z80 asm	vb	1
tea	coffee	1
c	c++	19
java	c (perl's in the background)	1
delphi	perl.	1
php	c++/sdl	1
php, perl	perl	1
java	ruby	1
applescript	c	1
elisp	tex	1
8086	c	1
vb (windows)	perl (cgi)	1
perl (	php	1
gwbasic	quickbasic	1
drain cleaner	crack rocks	1
java	lingo scripting(macromedia)	1
antifa	mailboxes	1
prolog	perl	1
basic	tibasic/applebasic	1
applebasic	6502 assembly	1
z80 asm	pascal	4
basic	comal	1
php/fi	r	1
javascript	perl 4.36	1
objc	perl	2
perl (mmm)	js (client side)	1
perl	php	10
tech writing	html	1
basic	qbasic	1
bbc basic	6502 ass.	1
feminism	antifa	1
logo	(ti,applesoft,gw,q) basic	1
bbc basic	6502, 65c12 assembler	1
ms-dos bat	basic	1
c64 basic	st basic	1
delphi	idl	1
html	java	1
java	c++	1
c	perl.	1
perl6	ruby	1
'history of law and state of ukraine'	what was yours one?	1
perl*	snobol * = still use	1
perl	ocaml  (with lisp and ada in the background)	1
php	perl	17
apple ][ basic	6502 (a little)	1
c++	rpg(oh god, save me! awk	1
fortran	vms basic	1
pascal	object pascal	1
& pascal	html	1
javascript*	perl*	1
hypercard	pascal	2
c64 assembler	perl	1
c++/directx	java	1
php	java	7
php	.net	1
macperl	linux	1
bash	perl	2
commodore 64 basic	gw basic	1
c/asm (dabbling)	delphi (dabbling)	1
python	clojure. so far, i ♥ perl the most.	1
c	assembler (8086)	1
tcl/tk	perl;	1
c	vba (access)	1
perl	perl	1
perl 4	mushcode	1
...	tech writing	1
6502 (a little)	turbo pascal	1
6501	basic	1
vba (access)	perl	1
ruby	perl	5
gwbasic	etbasic	1
basic	assembler	1
st basic	gfa basic	1
basic	cobol	1
heretic ii	c++/directx	1
nothingforalongtime	perl	1
vba	sql	1
commodore 64 basic	logo	1
c	sql	1
i860asm	objc	1
visual basic	perl.	1
cobol	clipper	1
z80	c	1
basic (various)	z-80 asm	1
turbo pascal bis 6.0	(scheme|c|c++)	1
awk	elisp	1
z-80 asm	6502 asm	1
pascal	c	23
[ten-year gap]	perl	1
c++	pl/sql	1
asmx86	c	1
cobol	pascal	1
eng.lit & italian	vba	1
c64-basic	asm 6510	1
lingo scripting(macromedia)	lamp (suse)	1
java	vb	1
javascript	xs	1
sgml	html	1
rexx	c++	1
perl	xslt	2
c/c++	java	1
smallc	c*	1
pascal/delphi	c++	1
logo	lpc	1
sinclair basic	maths	1
c	cobol	2
turbopascal	asm x86	1
perl cgi.pm	php	1
:) perl	javascript	1
cobol & 8086	pascal	1
quickbasic	c	1
vb4	delphi	1
gwbasic	vbasic	1
c	java	8
68000 asm	csh/sh	1
(work pushed) cf php java	perl	1
ruby	java	1
c/c++	4gl	1
m68k	sh	1
cobol	perl	1
c64 basic	c64 assembler	1
haskell	c	1
asm	c	1
vb	turing	1
(comal | cobol | fortran 90)	turbo pascal bis 6.0	1
awk,sed	c	1
…	xslt	1
perl	pl/sql	1
perl	erlang/ocaml	2
delphi	perl	1
pascal	fortran	3
c64 basic	c/c++	1
javascript✔❣	lisp✔❣ (✘moved on, ✔using, ❤in love, ❣flirting)	1
prolog	modula2	1
perl	smalltalk	1
perl 4	objectivec	1
high school, c++	college, real job, java	1
professional basic	c++	1
perl	perl6	1
assembler	c	2
php	vb	1
pascal	lisp	1
ti-basic (ti-80)	bash	1
perl 4	perl 5	2
tcsh	perl	1
c++	vb4	1
modula2	c++	1
c#	perl	1
mirc scripting	html	1
c++	lisp	2
6502 assembler	c	2
logo✘	pascal✘	1
idl	vb	1
perl	(stopped counting)	1
c	<in house ui language	1
ucsd pascal	modula 2	1
lpc	lisp	1
qbasic (gorilla ftw)	c++	1
qbasic	professional basic	1
forth	dos batch	1
perl 5	html	1
perl (	c#	1
atari basic	basic	1
php (common)	perl (mmm)	1
erlang/ocaml	perl	2
java (uni)	php (common)	1
javascript	perl5	1
c++	rexx	1
c++, java	perl	1
c/c++	(68k/ppc)	1
coral	lisp (with c)	1
sql	javascript	1
pascal	php	1
perl	plenty more since then	2
tinymud code	delphi	1
java	c#	2
perl/mod_cgi(2000)	perl/mod_perl(2007)	1
sh	68k	1
mushcode	vba	1
perl	ksh	1
fortran	c	2
bioperl	moose, catalyst, dbic, jquery	1
object pascal	perl	1
pascal	perl5	1
basic	6502	1
turtle graphics ii	basic	1
php	c#	1
pascal	m68k	1
java	perl!	1
c	rexx	1
c	68000 asm	1
postscript	perl	1
asm 6510	asm z80	1
linux	html	1
c	modula-2	1
now	eol // ( waste time period of my life )	1
x86 asm	c	1
html	perl (cgi)	1
perl	ruby	5
html/css/javascript	php	1
scheme	c	1
vb5	php	1
java	c	2
tex	postscript	1
delphi (dabbling)	perl	1
basic	z80 asm	2
ruby	objc	1
perl	xml	2
pascal (academic use only)	userland frontier (?!)	1
sh	php	1
asm x86	modula2	1
turbo pascal	perl	1
6502	68000	1
c	perl 4	2
perl	javascript	4
lynx basic	z80 assembler	1
csh/sh	sed/awk	1
bbc basic	apollo pascal	1
political science	feminism	1
r	perl	1
c	x86 assembly	1
objective-c	vb	1
asp (argh)	perl (	1
ms-dos basic	perl 5	1
dabbling with lisp	perl	1
lua	perl	1
perl	java	6
dos batch	{commo}	1
perl to munge the rpg)	hey,  can do it all, better!	1
c64 basic, logo	iie basic	1
apple iie basic	fortran	1
modula-2	c	1
tex	php/fi	1
java	javascript	5
m68k	nothingforalongtime	1
c++	visualbasic	1
how did you get here?   basic	arm26	1
game	8086	1
amstrad basic	html	1
gfa-basic	68k assembler	1
perl	(work pushed) cf php java	1
delphi	c	1
pascal	perl (cgi.pm)	1
68k	x86 asm	1
x86 asm	c++	1
perl	python. still some perl, mostly python.	1
applesoft basic	ucsd pascal	1
c	perl4	1
qbasic	ti83 basic	1
php	basic	1
lisp	haskell	1
c	vb	1
smalltalk	c++	1
{commo}	tcsh	1
clipper	c	1
asm z80	turbopascal	1
basic	c/asm (dabbling)	1
etbasic	logo	1
elementary school, basic	pascal	1
expect	perl	1
pascal	vb3	1
turbo pascal	dbase iii+	1
pascal	haskell	1
javascript	php,c,c (college)	1
qbasic	pascal	2
basic	pascal (academic use only)	1
modula 3	z80	1
perl	modern::perl	1
visualbasic	csharp	1
logo	st basic	1
smatterings of pascal, lisp, c, miranda	perl 4	1
turbopascal	c on sgi (dabbling)	1
fortran	java	2
c	sh	1
sql	dabbling with lisp	1
color basic	amigabasic	1
icon	perl	2
bash	c	1
sml/nj	haskell	1
scala	clojure… the only one i don't actively use anymore is basic.	1
unrealscript	mirc scripting	1
php/fi	perl	1
z80	game	1
java	javascript + perl	1
perl	c++	1
6502	pascal	1
c	perl cgi.pm	1
still php	perl	1
php,c,c (college)	perl	1
coffee	beer	1
68k assembler	c	1
asm (z80)	pascal	1
basic (sharp mz-80a!)	simula	1
basic of a c64	logo	1
c++ (borland/x86)	perl	1
c	x86asm	2
z80	bbc basic	1
basic	fortran	3
qbasic	assembly	1
logo, gw-basic, turbo pascal, z80 assembler, c+, php, ksh, bash, perl *würg*, php,	perl	1
pascal	high school, c++	1
actionscript	perl	1
c	awk	3
perl	modern perl	2
msx basic	z80 asm	1
basic (amiga)	c++ (borland/x86)	1
c#	c	1
dbase iii+	clipper	1
crack rocks	perl	1
csharp	perl	1
javascript	perl	4
(68k/ppc)	java	1
perl	(influences from lisp, erlang, haskell, ocaml)	1
awk	perl 4	1
nice overview and the list is getting longer...	:)	1
c#	java	1
z80	prolog	1
c on sgi (dabbling)	perl	1
zx81 basic	apple basic	1
: basic (msx)	asm (z80)	1
c	smalltalk	1
turbo pascal	c++	1
simula	(pascal|scheme|smalltalk|c|misc)	1
smalltalk	javascript	1
basic	pascal	13
haskell	java	1
ruby(2005)	perl(2008)	1
java	objc	1
perl 5	bioperl	1
z80 assembler	bbc basic	1
st basic	pascal	1
z80	pascal	1
pascal	delphi	3
- basic	z80 asm	1
perl	actionscript	1
java	perl5	1
c	asmx86	1
locomotive basic	turbo pascal	1
z80 machine code	68k asm	1
objectivec	java	1
68k asm	pascal	1
projectmanagement	java	1
vb.net	c#	1
applesoft basic	qbasic	1
prime basic	fortran	1
visualbasic(1996)	perl/mod_cgi(2000)	1
java	perl(a lot)	1
basic (vic 20)	vb (windows)	1
forth	i860asm	1
lisp (with c)	perl	1
6502*	lpc*	1
vbasic	(comal | cobol | fortran 90)	1
